ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,324743,0,0,1,Fixation,150,1611,621,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,324993,0,0,2,Fixation,150,1585,856,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,325718,0,0,3,Fixation,75,1634,242,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,326368,0,0,4,Fixation,167,1686,772,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,326543,0,0,5,Fixation,250,1636,803,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,326818,0,0,6,Fixation,175,1668,827,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,327043,0,0,7,Fixation,175,1694,560,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,327343,0,0,8,Fixation,308,1684,205,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,327834,0,0,9,Fixation,117,1084,788,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,327992,0,0,10,Fixation,117,685,738,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,328368,0,0,11,Fixation,83,1552,257,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,328584,0,0,12,Fixation,100,1678,129,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,328792,0,0,13,Fixation,200,1611,850,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,329001,0,0,14,Fixation,642,1638,851,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 75,323709,329821,6112,329651,0,0,15,Fixation,525,1662,862,
