ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 54,227885,232573,4688,227944,0,0,1,Fixation,633,1021,468,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 54,227885,232573,4688,228603,0,0,2,Fixation,117,1079,526,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 54,227885,232573,4688,228769,0,0,3,Fixation,192,964,267,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 54,227885,232573,4688,229228,0,0,4,Fixation,500,648,738,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 54,227885,232573,4688,229778,0,0,5,Fixation,192,706,711,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 54,227885,232573,4688,230044,0,0,6,Fixation,225,617,390,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 54,227885,232573,4688,230378,0,0,7,Fixation,358,1629,796,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 54,227885,232573,4688,230752,0,0,8,Fixation,83,1664,830,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 54,227885,232573,4688,230927,0,0,9,Fixation,133,662,788,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 54,227885,232573,4688,231102,0,0,10,Fixation,75,647,801,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 54,227885,232573,4688,231227,0,0,11,Fixation,133,623,715,
2018/05/19,mizusaki,task3_mizusaki,2018/05/18,I-VT filter,605098,Segment 54,227885,232573,4688,231694,0,0,12,Fixation,183,1577,748,
