ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,hara,task2_hara,2018/05/17,I-VT filter,365040,Segment 66,200253,202365,2112,200317,0,0,1,Fixation,117,557,732,
2018/05/19,hara,task2_hara,2018/05/17,I-VT filter,365040,Segment 66,200253,202365,2112,200575,0,0,2,Fixation,83,1099,629,
2018/05/19,hara,task2_hara,2018/05/17,I-VT filter,365040,Segment 66,200253,202365,2112,200700,0,0,3,Fixation,117,1072,609,
2018/05/19,hara,task2_hara,2018/05/17,I-VT filter,365040,Segment 66,200253,202365,2112,200825,0,0,4,Fixation,83,1078,628,
2018/05/19,hara,task2_hara,2018/05/17,I-VT filter,365040,Segment 66,200253,202365,2112,201533,0,0,5,Fixation,67,1831,910,
2018/05/19,hara,task2_hara,2018/05/17,I-VT filter,365040,Segment 66,200253,202365,2112,201667,0,0,6,Fixation,133,1819,735,
2018/05/19,hara,task2_hara,2018/05/17,I-VT filter,365040,Segment 66,200253,202365,2112,201875,0,0,7,Fixation,92,1762,743,
2018/05/19,hara,task2_hara,2018/05/17,I-VT filter,365040,Segment 66,200253,202365,2112,202008,0,0,8,Fixation,167,1746,864,
