ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 110,440495,442367,1872,440598,0,0,1,Fixation,233,674,363,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 110,440495,442367,1872,440998,0,0,2,Fixation,142,1057,418,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 110,440495,442367,1872,441190,0,0,3,Fixation,167,764,414,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 110,440495,442367,1872,441398,0,0,4,Fixation,283,1011,392,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 110,440495,442367,1872,441748,0,0,5,Fixation,217,1256,426,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 110,440495,442367,1872,442015,0,0,6,Fixation,133,1562,334,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 110,440495,442367,1872,442215,0,0,7,Fixation,450,1511,412,
