ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,onda,task34_onda,2018/05/13,I-VT filter,1321680,Segment 43,202404,205012,2608,202426,0,0,1,Fixation,67,168,198,
2018/05/19,onda,task34_onda,2018/05/13,I-VT filter,1321680,Segment 43,202404,205012,2608,202559,0,0,2,Fixation,150,429,235,
2018/05/19,onda,task34_onda,2018/05/13,I-VT filter,1321680,Segment 43,202404,205012,2608,202751,0,0,3,Fixation,133,300,203,
2018/05/19,onda,task34_onda,2018/05/13,I-VT filter,1321680,Segment 43,202404,205012,2608,202901,0,0,4,Fixation,375,313,178,
2018/05/19,onda,task34_onda,2018/05/13,I-VT filter,1321680,Segment 43,202404,205012,2608,203376,0,0,5,Fixation,100,209,297,
2018/05/19,onda,task34_onda,2018/05/13,I-VT filter,1321680,Segment 43,202404,205012,2608,203667,0,0,6,Fixation,183,1132,457,
2018/05/19,onda,task34_onda,2018/05/13,I-VT filter,1321680,Segment 43,202404,205012,2608,203942,0,0,7,Fixation,233,1149,396,
2018/05/19,onda,task34_onda,2018/05/13,I-VT filter,1321680,Segment 43,202404,205012,2608,204300,0,0,8,Fixation,292,1046,772,
2018/05/19,onda,task34_onda,2018/05/13,I-VT filter,1321680,Segment 43,202404,205012,2608,204775,0,0,9,Fixation,167,591,371,
