ExportDate,ParticipantName,RecordingName,RecordingDate,RecordingDuration,FixationFilter,MediaPosX (ADCSpx),MediaPosY (ADCSpx),SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,ide,task2_ide,2018/05/14,341468,I-VT filter,0,0,Segment 83,225940,227652,1712,226175,1,Fixation,292,1142,529,
2018/05/19,ide,task2_ide,2018/05/14,341468,I-VT filter,0,0,Segment 83,225940,227652,1712,226791,2,Fixation,350,1736,394,
2018/05/19,ide,task2_ide,2018/05/14,341468,I-VT filter,0,0,Segment 83,225940,227652,1712,227225,3,Fixation,133,1658,357,
2018/05/19,ide,task2_ide,2018/05/14,341468,I-VT filter,0,0,Segment 83,225940,227652,1712,227524,4,Fixation,242,1250,685,
