ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,seto,task3_seto,2018/05/14,I-VT filter,372547,Segment 83,247247,249375,2128,247446,0,0,1,Fixation,83,1137,741,
2018/05/19,seto,task3_seto,2018/05/14,I-VT filter,372547,Segment 83,247247,249375,2128,247662,0,0,2,Fixation,117,1101,534,
2018/05/19,seto,task3_seto,2018/05/14,I-VT filter,372547,Segment 83,247247,249375,2128,247812,0,0,3,Fixation,67,953,730,
2018/05/19,seto,task3_seto,2018/05/14,I-VT filter,372547,Segment 83,247247,249375,2128,247929,0,0,4,Fixation,142,1025,353,
2018/05/19,seto,task3_seto,2018/05/14,I-VT filter,372547,Segment 83,247247,249375,2128,248096,0,0,5,Fixation,142,1074,348,
2018/05/19,seto,task3_seto,2018/05/14,I-VT filter,372547,Segment 83,247247,249375,2128,248296,0,0,6,Fixation,75,692,334,
2018/05/19,seto,task3_seto,2018/05/14,I-VT filter,372547,Segment 83,247247,249375,2128,248412,0,0,7,Fixation,600,534,325,
2018/05/19,seto,task3_seto,2018/05/14,I-VT filter,372547,Segment 83,247247,249375,2128,249021,0,0,8,Fixation,125,509,304,
2018/05/19,seto,task3_seto,2018/05/14,I-VT filter,372547,Segment 83,247247,249375,2128,249204,0,0,9,Fixation,325,557,778,
