ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,onda,task1-2task2_onda,2018/05/13,I-VT filter,585974,Segment 142,442754,445090,2336,442943,0,0,1,Fixation,92,1009,570,
2018/05/19,onda,task1-2task2_onda,2018/05/13,I-VT filter,585974,Segment 142,442754,445090,2336,443251,0,0,2,Fixation,233,1023,607,
2018/05/19,onda,task1-2task2_onda,2018/05/13,I-VT filter,585974,Segment 142,442754,445090,2336,443618,0,0,3,Fixation,75,1569,845,
2018/05/19,onda,task1-2task2_onda,2018/05/13,I-VT filter,585974,Segment 142,442754,445090,2336,443784,0,0,4,Fixation,208,1711,950,
2018/05/19,onda,task1-2task2_onda,2018/05/13,I-VT filter,585974,Segment 142,442754,445090,2336,444051,0,0,5,Fixation,75,1608,725,
2018/05/19,onda,task1-2task2_onda,2018/05/13,I-VT filter,585974,Segment 142,442754,445090,2336,444176,0,0,6,Fixation,233,1596,507,
2018/05/19,onda,task1-2task2_onda,2018/05/13,I-VT filter,585974,Segment 142,442754,445090,2336,444759,0,0,7,Fixation,308,922,752,
