ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,onda,task1-2task2_onda,2018/05/13,I-VT filter,585974,Segment 161,490850,492562,1712,490926,0,0,1,Fixation,100,1004,803,
2018/05/19,onda,task1-2task2_onda,2018/05/13,I-VT filter,585974,Segment 161,490850,492562,1712,491084,0,0,2,Fixation,400,1230,530,
2018/05/19,onda,task1-2task2_onda,2018/05/13,I-VT filter,585974,Segment 161,490850,492562,1712,491568,0,0,3,Fixation,142,1342,830,
2018/05/19,onda,task1-2task2_onda,2018/05/13,I-VT filter,585974,Segment 161,490850,492562,1712,491776,0,0,4,Fixation,233,1301,474,
2018/05/19,onda,task1-2task2_onda,2018/05/13,I-VT filter,585974,Segment 161,490850,492562,1712,492051,0,0,5,Fixation,167,1200,321,
